feature,importance
brand_token_or_logo_present,0.18748667526922239
logo_brand_domain_mismatch,0.15819709388191106
visual_brand_domain_mismatch,0.1507979034079416
no_brand_visual_claim,0.14482213604830582
url_fetch_success,0.06297246832473226
page_render_success,0.056700363346282326
page_fetch_success,0.05610049233684944
ssl_valid,0.03932868555141004
same_html_hash_domain_count_7d,0.026681679459350807
cert_age_days,0.021221390874269237
logo_detected,0.020244008118875834
fetch_status_code,0.019538525643292743
redirect_count,0.013753443761932972
has_login_form,0.013489771507217868
no_login_form,0.007619265725607864
nameserver_reputation_score,0.005550235123750615
ip_seen_with_many_brands,0.003658407449741827
logo_brand_matches_target_brand,0.0030465159627867653
https_enabled,0.0015841435910530363
redirect_cross_domain_count,0.0014225173439928167
has_password_input,0.0012284012367877472
domain_expiry_days,0.001007368964706984
domain_age_days,0.0009033430202003933
registrar_reputation_score,0.0008819207085086392
entropy,0.0006287705019215265
url_length,0.000387453209541913
form_action_external,0.00023061819226264329
brand_not_in_registered_domain,0.00014390416913924675
asn_reputation_score,0.0001388659154348892
digit_count,0.00013268335213138157
subdomain_depth,6.071310536791871e-05
brand_token_in_subdomain,3.051172344915548e-05
lexical_similarity_score,9.257152951311848e-06
prefix_suffix,3.523114987060812e-07
special_char_count,1.1370757005576053e-07
homoglyph_similarity_score,9.240093433190947e-17
tiny_url,6.774455836391466e-17
min_edit_distance_to_brand_domain,0.0
dns_resolves_to_ip,0.0
dns_check_pass,0.0
high_lexical_similarity,0.0
